# Name;Factions;Type;Points;Max;Own
# Points for units are frequently used to determine max: 28 / points of unit = max
# The Attachments have a max of 4 or min point of a unit + 1 
Addam Marbrand, Commander of the City Watch;Lannister;Commander;0;1;0
Addam Marbrand, Trusted Bannerman;Lannister;Infantry Attachment;2;1;0
Aemon, Master of Castle Black;Night's Watch;NCU;4;1;0
Aeron Greyjoy, The Damphair;Greyjoy;NCU;4;1;0
Alester Florent, Lord of Brightwater;Baratheon;NCU;4;1;0
Alicent Hightower, Dowager Queen;Targaryen;NCU;4;1;0
Alliser Thorne, Master-at-Arms;Night's Watch;Commander;0;1;0
Alliser Thorne, Vindictive Overseer;Night's Watch;Infantry Attachment;1;1;0
Andrew Estermont, First of the King's Men;Baratheon;Commander;0;1;0
Andrew Estermont, The Loyalist;Baratheon;Infantry Attachment;1;1;0
Anguy, The Archer;Brotherhood Without Banners;Infantry Attachment;2;1;0
Areo Hotah, Dutiful Juggernaut;Martell;Infantry Attachment;2;1;0
Arianne Martell, Heiress To Dorne;Martell;NCU;5;1;0
Arya Stark, Fugitive Princess;Neutral;Infantry Attachment;1;1;0
Arya Stark, The Wolf Girl;Stark;NCU;4;1;0
Arys Oakheart, Crown's Ambassador;Martell;NCU;4;1;0
Arys Oakheart, Kingsguard;Lannister;Infantry Attachment;1;1;0
Arys Oakheart, The White Knight;Martell;Infantry Attachment;1;1;0
Asha Greyjoy, "Lady Greyjoy";Greyjoy;Infantry Attachment;2;1;0
Asha Greyjoy, Captain of the Black Wind;Greyjoy;Infantry Attachment;1;1;0
Asha Greyjoy, The Kraken's Daughter;Greyjoy;Commander;0;1;0
Asha Greyjoy, Would-be Queen;Greyjoy;NCU;4;1;0
Assault Veteran;Lannister;Infantry Attachment;1;4;2
Axell Florent, Fanatical Devotee;Baratheon;Infantry Attachment;2;1;0
Axell Florent, First of the Queen's Men;Baratheon;Commander;0;1;0
Axell Florent, Hand of the Queen;Baratheon;NCU;4;1;0
Baelor Blacktyde, Captain of the Nightflyer;Greyjoy;Infantry Attachment;1;1;0
Baelor Blacktyde, Lord of Blacktyde;Greyjoy;Commander;0;1;0
Balon Greyjoy, King of Salt and Rock;Greyjoy;NCU;5;1;0
Balon Greyjoy, The Kraken King;Greyjoy;Commander;0;1;0
Baratheon Halberdiers;Baratheon;Infantry;6;4;0
Baratheon Sentinels;Baratheon;Infantry;5;5;0
Baratheon Upgrade Card Pack;Baratheon;Cards;0;1;0
Baratheon Wardens;Baratheon;Infantry;5;5;0
Barristan Selmy, Advisor to the Dragon;Targaryen;NCU;5;1;0
Barristan Selmy, Lord Commander of the Kingsguard;Lannister;Infantry Attachment;2;1;0
Barristan Selmy, The Bold;Targaryen;Commander;0;1;0
Belwas, The Strong;Targaryen;Commander;0;1;0
Belwas, Veteran Pit-Fighter;Targaryen;Infantry Attachment;1;1;0
Ben Bones, Kennelmaster;Bolton;Infantry Attachment;1;1;0
Benjen Stark, Beyond the Wall;Night's Watch;Commander;0;1;0
Benjen Stark, First Ranger;Night's Watch;Commander;0;1;0
Benjen Stark, Wolf of the Wall;Night's Watch;Infantry Attachment;1;1;0
Beric Dondarrion, Lightning Lord;Brotherhood Without Banners;Commander;0;1;0
Beron Blacktyde, Blind Beron;Greyjoy;NCU;4;1;0
Biter, Rorge's Mad Dog;Neutral;Infantry Attachment;0;1;0
Blacktyde Chosen;Greyjoy;Infantry;6;4;0
Bloody Mummer Skirmishers;Neutral;Infantry;6;4;0
Bloody Mummer Zorse Riders;Neutral;Cavalry;6;4;0
Bolton Flayer;Neutral/Bolton;Infantry Attachment;1;4;0
Boros Blount, Kingsguard;Lannister;Infantry Attachment;1;1;0
Borroq, Boar Skinchanger;Free Folk;Infantry Attachment;2;1;0
Bowen Marsh, First Steward;Night's Watch;NCU;4;1;0
