#name;armies;unit_type;paint_points;cost;points;max_fa;own_amount;built_amount;painted_amount
Accretion Servitors;Convergence of Cyriss/Legacy Convergence of Cyriss;Solo;3;10.99;2;3;3;0;0
Ace;First Army/Legacy Cygnar;Light Warjack;2;24.99;8;1;0;0;0
Agata, Queen of Carnage;Legacy Circle Orboros;Solo;1;12.99;3;1;1;0;0
Aiakos, Scourge of the Meredius;Blackfleet/Legacy Cryx;Solo;1;15.99;4;1;1;0;0
Alexia Ciannor & the Risen;Legacy Cygnar;Unit;6;64.99;7;1;1;0;0
Alexia, Mistress of the Witchfire;Legacy Cygnar;Solo;4;29.99;5;1;0;0;0
Alexia, The Undying;Legacy Cygnar;Solo;1;15.99;4;1;0;0;0
Algorithmic Dispersion Optifex;Convergence of Cyriss/Legacy Convergence of Cyriss;Solo;1;12.99;2;4;1;0;0
Alten Ashley;Legacy Circle Orboros/Legacy Crucible Guard/Legacy Cygnar;Solo;1;9.99;4;1;1;0;0
Anastasia di Bray;Legacy Crucible Guard/Legacy Cygnar;Solo;1;9.99;3;1;1;1;0
Arcane Tempest Gun Mage Officer;Legacy Cygnar;Command Attachment;1;7.99;2;2;0;0;0
Arcane Tempest Gun Mages;Legacy Cygnar;Unit;5;34.99;7;2;1;0;0
Arcane Tempest Rifleman;Legacy Cygnar;Solo;1;12.99;3;2;1;0;0
Archduke Alain Runewood, Lord of Fharin;Legacy Cygnar;Solo;1;13.99;3;1;0;0;0
Archnumen Aurora;Convergence of Cyriss/Legacy Convergence of Cyriss;Warcaster;4;ARCHNUMEN_AURORA;0;1;0;0;0
Argus Moonhound;Devourer's Host/Legacy Circle Orboros;Light Warbeast;2;14.99;6;4;1;0;0
Artificer General Nemo;Legacy Cygnar;Warcaster;2;21.99;0;1;1;0;0
Artificer Prime Nemo;Convergence of Cyriss/Legacy Convergence of Cyriss/Legacy Cygnar;Battle Engine;13;109.99;16;1;0;0;0
Ascendant Mentalist;Crucible Guard/Legacy Crucible Guard;Solo;2;19.99;4;2;2;0;0
Asphyxious the Sanctified;Convergence of Cyriss/Legacy Convergence of Cyriss;Solo;7;49.99;12;1;1;0;0
Assimilator;Convergence of Cyriss/Legacy Convergence of Cyriss;Heavy Warjack;4;34.99;13;4;1;0;0
Attunement Servitors;Convergence of Cyriss/Legacy Convergence of Cyriss;Solo;3;11.99;4;3;1;0;0
